Date,EURUSD,USDUAH,USDRUB,XAUUSD,XAGUSD,COPPERUSD,IRONOREUSD,ALUMINUMUSD,OILUSD,USHOUSING
2025-04-01,1.0818880796432495,41.10139083862305,82.99401092529297,3118.89990234375,34.15800094604492,5.019000053405762,102.20999908447266,2400.5,71.19999694824219,328.102
2025-04-02,1.0795987844467163,41.12860870361328,84.49504089355469,3139.89990234375,34.499000549316406,5.023499965667725,104.25,2366.5,71.70999908447266,
2025-04-03,1.090869426727295,41.06378173828125,84.25365447998047,3097.0,31.8439998626709,4.810999870300293,104.18000030517578,2296.25,66.94999694824219,
2025-04-04,1.1043744087219238,41.01222229003906,83.9219741821289,3012.0,29.11599922180176,4.384500026702881,102.63999938964844,2209.5,61.9900016784668,
2025-04-07,1.098454475402832,41.1409797668457,83.73799133300781,2951.300048828125,29.51000022888184,4.169000148773193,100.8499984741211,2199.25,60.70000076293945,
2025-04-08,1.0915361642837524,40.77878189086914,86.14550018310547,2968.39990234375,29.59199905395508,4.127500057220459,99.25,2190.75,59.58000183105469,
2025-04-09,1.0980443954467771,40.8692512512207,85.84398651123047,3056.5,30.32299995422364,4.17549991607666,99.0500030517578,2166.25,62.34999847412109,
2025-04-10,1.0952062606811523,40.99070739746094,86.12574768066406,3155.199951171875,30.67099952697754,4.321000099182129,99.88999938964844,2251.0,60.06999969482422,
2025-04-11,1.1257838010787964,41.18196487426758,83.48717498779297,3222.199951171875,31.823999404907227,4.507500171661377,99.9499969482422,2300.0,61.5,
2025-04-14,1.1343141794204712,41.11833572387695,83.97508239746094,3204.800048828125,32.09199905395508,4.610499858856201,100.08000183105467,2306.75,61.52999877929688,
2025-04-15,1.1339668035507202,41.01985168457031,82.24932861328125,3218.699951171875,32.22700119018555,4.611000061035156,100.19000244140624,2317.5,61.33000183105469,
2025-04-16,1.1292672157287598,40.95216751098633,83.5453872680664,3326.60009765625,32.92599868774414,4.673999786376953,100.08000183105467,2310.5,62.470001220703125,
2025-04-17,1.1396790742874146,41.026702880859375,82.9946060180664,3308.699951171875,32.41999816894531,4.731500148773193,100.0500030517578,2307.5,64.68000030517578,
2025-04-21,,,,3406.199951171875,32.49599838256836,4.7210001945495605,99.91999816894533,2330.5,63.08000183105469,
2025-04-22,1.1512778997421265,41.153751373291016,81.17516326904297,3400.800048828125,32.880001068115234,4.870500087738037,99.87999725341795,2303.25,64.30999755859375,
2025-04-23,1.1351252794265747,41.323333740234375,81.51790618896484,3276.300048828125,33.518001556396484,4.8354997634887695,100.08999633789062,2345.75,62.27000045776367,
2025-04-24,1.132733702659607,41.49267959594727,82.99446105957031,3332.0,33.48199844360352,4.849999904632568,99.9800033569336,2390.0,62.790000915527344,
2025-04-25,1.1371906995773315,41.40169525146485,83.19823455810547,3282.39990234375,32.98899841308594,4.8354997634887695,99.91999816894533,2351.25,63.02000045776367,
2025-04-28,1.1343141794204712,41.55474472045898,82.73937225341797,3332.5,32.9900016784668,4.8379998207092285,99.91000366210938,2347.5,62.04999923706055,
2025-04-29,1.1409143209457395,41.43536376953125,82.64576721191406,3318.800048828125,33.275001525878906,4.822999954223633,99.86000061035156,2354.0,60.41999816894531,
2025-04-30,1.1389262676239014,41.26861953735352,81.99578857421875,3305.0,32.53099822998047,4.559999942779541,99.76000213623048,2292.75,58.209999084472656,
2025-05-01,1.1324899196624756,41.20864868164063,82.01812744140625,3210.0,32.18899917602539,4.580999851226807,99.25,2293.25,59.2400016784668,327.525
2025-05-02,1.1296498775482178,41.34507369995117,82.22724914550781,3231.89990234375,31.98900032043457,4.627500057220459,98.19000244140624,2307.75,58.290000915527344,
2025-05-05,1.1323232650756836,41.58538436889648,81.91653442382812,3311.300048828125,32.20500183105469,4.65500020980835,97.41000366210938,2306.75,57.130001068115234,
2025-05-06,1.1313369274139404,41.277530670166016,80.49713897705078,3411.39990234375,33.112998962402344,4.735000133514404,98.62999725341795,2310.25,59.09000015258789,
2025-05-07,1.1342755556106567,41.16054534912109,81.49191284179688,3381.39990234375,32.53099822998047,4.616499900817871,99.33000183105467,2269.75,58.06999969482422,
2025-05-08,1.1306205987930298,41.17494583129883,80.62101745605469,3296.60009765625,32.37799835205078,4.560999870300293,98.2300033569336,2294.25,59.90999984741211,
2025-05-09,1.122422695159912,41.24868774414063,82.49641418457031,3335.39990234375,32.67599868774414,4.611000061035156,98.5500030517578,2309.25,61.02000045776367,
2025-05-12,1.12296462059021,41.24439239501953,82.63175201416016,3220.0,32.38800048828125,4.578499794006348,99.75,2382.0,61.95000076293945,
2025-05-13,1.1095577478408811,41.19228744506836,80.99641418457031,3240.300048828125,32.86800003051758,4.68149995803833,99.51000213623048,2400.75,63.66999816894531,
2025-05-14,1.1185556650161743,41.27099990844727,79.84282684326172,3181.39990234375,32.22600173950195,4.611000061035156,100.75,2457.25,63.150001525878906,
2025-05-15,1.1181930303573608,41.30068588256836,80.37244415283203,3220.699951171875,32.48099899291992,4.644499778747559,100.41999816894533,2403.5,61.619998931884766,
2025-05-16,1.1192693710327148,41.23527908325195,79.99535369873047,3182.0,32.15800094604492,4.555500030517578,100.08000183105467,2389.75,62.4900016784668,
2025-05-19,1.1187559366226196,41.294525146484375,80.00536346435547,3228.89990234375,32.3129997253418,4.633500099182129,100.0,2355.25,62.68999862670898,
2025-05-20,1.123342990875244,41.355743408203125,80.74639129638672,3280.300048828125,32.97999954223633,4.619500160217285,100.0500030517578,2372.25,62.560001373291016,
2025-05-21,1.128795504570007,41.163482666015625,80.62069702148438,3309.300048828125,33.4630012512207,4.638000011444092,100.0500030517578,2374.25,61.56999969482422,
2025-05-22,1.133118748664856,41.16130447387695,79.88544464111328,3292.300048828125,33.047000885009766,4.648499965667725,99.88999938964844,2350.25,61.20000076293945,
2025-05-23,1.1281843185424805,41.1956672668457,79.6562271118164,3363.60009765625,33.44200134277344,4.80649995803833,99.80999755859376,2357.5,61.52999877929688,
2025-05-26,1.1372811794281006,41.17640686035156,78.43033599853516,,,,,,,
2025-05-27,1.1388484239578247,41.37807083129883,79.74639129638672,3299.10009765625,33.145999908447266,4.710000038146973,99.4800033569336,2373.5,60.88999938964844,
2025-05-28,1.1337097883224487,41.42545318603515,80.24319458007812,3293.60009765625,33.0,4.644000053405762,99.38999938964844,2358.25,61.84000015258789,
2025-05-29,1.123368263244629,41.30685043334961,79.8642578125,3317.10009765625,33.28300094604492,4.653500080108643,99.2699966430664,2344.25,60.93999862670898,
2025-05-30,1.1378376483917236,41.26861953735352,76.89337921142578,3288.89990234375,32.891998291015625,4.652500152587891,99.12000274658205,2348.5,60.790000915527344,
2025-06-01,,,,,,,,,,326.999
2025-06-02,1.1353315114974976,41.1842041015625,77.64775085449219,3370.60009765625,34.5629997253418,4.834499835968018,95.9499969482422,2381.75,62.52000045776367,
2025-06-03,1.1453442573547363,41.382694244384766,79.2457275390625,3350.199951171875,34.50299835205078,4.809500217437744,95.3000030517578,2371.0,63.40999984741211,
2025-06-04,1.1384464502334597,41.36080551147461,78.97001647949219,3373.5,34.51900100708008,4.864500045776367,96.26000213623048,2390.75,62.84999847412109,
2025-06-05,1.1422044038772583,41.171573638916016,79.24608612060547,3350.699951171875,35.68899917602539,4.91349983215332,95.6999969482422,2404.0,63.369998931884766,
2025-06-06,1.1453834772109983,41.17809295654297,77.2464828491211,3322.699951171875,36.025001525878906,4.829999923706055,96.18000030517578,2365.75,64.58000183105469,
